subject_name,chapter_number,chapter_name,question_number,question_text,pyq_year,pyq_exam_month,pyq_paper_set,marks,hint,easy_answer,keywords,difficulty,pyq_frequency,visual_tag,source_note,question_paper_id
Mathematics Part I,1,Linear Equations in Two Variables,2(B)(i),"ABCD is a rectangle. Using the diagram information, write two simultaneous equations in the form ax + by = c.",2025,March,English,2,Verified from uploaded official paper/question.,2x−2y=8; −x+2y=4,simultaneous equations;rectangle,Medium,3,Rectangle and linear equations,Official Board PDF uploaded by user; reviewed manually before ACTUAL_PYQ import.,
Mathematics Part I,2,Quadratic Equations,2(B)(ii),Solve x² + x − 20 = 0 by factorisation method.,2025,March,English,2,Verified from uploaded official paper/question.,x=4 or x=−5,quadratic equations;factorisation,Easy,3,Quadratic factorisation,Official Board PDF uploaded by user; reviewed manually before ACTUAL_PYQ import.,
Mathematics Part I,3,Arithmetic Progression,2(B)(iii),"Find the 19th term of the A.P. 7, 13, 19, 25, …",2025,March,English,2,Verified from uploaded official paper/question.,115,arithmetic progression;AP,Easy,3,Arithmetic progression,Official Board PDF uploaded by user; reviewed manually before ACTUAL_PYQ import.,
Mathematics Part I,5,Probability,2(B)(iv),A card is drawn from a well-shuffled pack of 52 playing cards. Find the probability that the card drawn is a face card.,2025,March,English,2,Verified from uploaded official paper/question.,3/13,probability;playing cards,Easy,3,Playing cards probability,Official Board PDF uploaded by user; reviewed manually before ACTUAL_PYQ import.,
Mathematics Part I,6,Statistics,2(B)(v),"The table gives number of workers and hours worked: 8–10:150, 10–12:500, 12–14:300, 14–16:50. Prepare a less-than upper-limit cumulative frequency distribution.",2025,March,English,2,Verified from uploaded official paper/question.,"<10:150, <12:650, <14:950, <16:1000",statistics;cumulative frequency,Medium,3,Cumulative frequency table,Official Board PDF uploaded by user; reviewed manually before ACTUAL_PYQ import.,
Mathematics Part I,6,Statistics,3(A)(i),"Using the given frequency distribution of petrol filled, complete the activity to find the mode. Classes: 0.5–3.5(33), 3.5–6.5(40), 6.5–9.5(27), 9.5–12.5(18), 12.5–15.5(12).",2025,March,English,3,Verified from uploaded official paper/question.,4.55 L,statistics;mode,Medium,3,Mode,Official Board PDF uploaded by user; reviewed manually before ACTUAL_PYQ import.,
Mathematics Part I,4,Financial Planning,3(A)(ii),The total value including GST of a remote-controlled toy car is ₹2360. GST rate is 18%. Complete the activity to find the taxable value.,2025,March,English,3,Verified from uploaded official paper/question.,₹2000,GST;taxable value,Easy,3,GST calculation,Official Board PDF uploaded by user; reviewed manually before ACTUAL_PYQ import.,
Mathematics Part I,2,Quadratic Equations,3(B)(i),Solve 3m² − m − 10 = 0 by formula method.,2025,March,English,3,Verified from uploaded official paper/question.,m=2 or m=−5/3,quadratic equations;formula method,Medium,3,Quadratic formula,Official Board PDF uploaded by user; reviewed manually before ACTUAL_PYQ import.,
Mathematics Part I,1,Linear Equations in Two Variables,3(B)(ii),Solve 3x − 4y = 10 and 4x + 3y = 5 using Cramer's rule.,2025,March,English,3,Verified from uploaded official paper/question.,"x=2, y=−1",simultaneous equations;Cramers rule,Medium,3,Cramer's rule,Official Board PDF uploaded by user; reviewed manually before ACTUAL_PYQ import.,
Mathematics Part I,4,Financial Planning,3(B)(iii),"50 shares of face value ₹10 were purchased for market value ₹25. Company declared 30% dividend. Find (1) sum invested, (2) dividend received, (3) rate of return.",2025,March,English,3,Verified from uploaded official paper/question.,₹1250; ₹150; 12%,shares;dividend;rate of return,Medium,3,Shares dividend return,Official Board PDF uploaded by user; reviewed manually before ACTUAL_PYQ import.,
Mathematics Part I,5,Probability,3(B)(iv),One coin and a die are thrown simultaneously. Find the probability of A: head and a prime number; B: tail and an odd number.,2025,March,English,3,Verified from uploaded official paper/question.,A=1/4; B=1/4,probability;coin;die,Medium,3,Coin and die probability,Official Board PDF uploaded by user; reviewed manually before ACTUAL_PYQ import.,
Mathematics Part I,2,Quadratic Equations,4(i),A tank can be filled by two taps in 6 hours. The smaller tap alone takes 5 hours more than the bigger tap alone. Find the time required by each tap separately.,2025,March,English,4,Verified from uploaded official paper/question.,10 hours and 15 hours,quadratic equations;word problems,Hard,3,Tank filling word problem,Official Board PDF uploaded by user; reviewed manually before ACTUAL_PYQ import.,
Mathematics Part I,6,Statistics,4(ii),"The table shows percentage of marks and number of students: 20–40:25, 40–60:65, 60–80:80, 80–100:15. Draw a frequency polygon without drawing histogram.",2025,March,English,4,Verified from uploaded official paper/question.,"Class marks 30,50,70,90",statistics;frequency polygon,Medium,3,Frequency polygon,Official Board PDF uploaded by user; reviewed manually before ACTUAL_PYQ import.,
Mathematics Part I,3,Arithmetic Progression,4(iii),"In a Mahila Bachat Gat, Kavita saves ₹20 on day 1, ₹40 on day 2, ₹60 on day 3 and continues similarly. Find total saving in February 2020.",2025,March,English,4,Verified from uploaded official paper/question.,₹8700,arithmetic progression;savings,Medium,3,Arithmetic progression savings,Official Board PDF uploaded by user; reviewed manually before ACTUAL_PYQ import.,
Mathematics Part I,6,Statistics,5(i),"The pie diagram represents money spent on different sports. If football expenditure is ₹9000, find (a) total amount spent on sports and (b) amount spent on cricket.",2025,March,English,5,Verified from uploaded official paper/question.,"Total ₹72,000; Cricket ₹32,000",statistics;pie chart,Medium,3,Pie chart,Official Board PDF uploaded by user; reviewed manually before ACTUAL_PYQ import.,
Mathematics Part I,1,Linear Equations in Two Variables,5(ii),Draw the graph of x + y = 4 and answer: (a) what type of triangle is formed with the X- and Y-axes based on its sides? (b) find its area.,2025,March,English,5,Verified from uploaded official paper/question.,Right isosceles triangle; area=8 sq. units,linear equations;graph;coordinate geometry,Medium,3,Graph and triangle,Official Board PDF uploaded by user; reviewed manually before ACTUAL_PYQ import.,
