subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
Science & Technology Part I,2,Where are non-metals generally found?,1,Look at the upper-right region.,Most non-metals are on the right.,SSC Science;Periodic Classification of Elements,Practice,Easy,,
Science & Technology Part I,2,What is the general valency of noble gases?,1,Their outermost shells are complete.,Noble gases generally have valency zero.,SSC Science;Periodic Classification of Elements,Practice,Medium,,
Science & Technology Part I,2,Why is sodium highly reactive?,1,Group 1 metals lose one electron.,Sodium readily loses its one valence electron.,SSC Science;Periodic Classification of Elements,Practice,Medium,,
Science & Technology Part I,2,What happens to atomic size across a period from left to right?,1,Nuclear charge increases while shells remain same.,Atomic size generally decreases.,SSC Science;Periodic Classification of Elements,Practice,Medium,,
Science & Technology Part I,2,What happens to atomic size down a group?,1,A new electron shell is added.,Atomic size increases down a group.,SSC Science;Periodic Classification of Elements,Practice,Medium,,
Science & Technology Part I,2,What is ionization energy?,1,It is energy for electron removal.,Ionization energy is energy required to remove an electron.,SSC Science;Periodic Classification of Elements,Practice,Medium,,
Science & Technology Part I,2,What is electronegativity?,1,Think of shared electrons.,It is attraction for shared electrons.,SSC Science;Periodic Classification of Elements,Practice,Medium,,
Science & Technology Part I,2,What is a period number related to?,1,"For main-group elements, period indicates shells.",Period number corresponds to occupied shells.,SSC Science;Periodic Classification of Elements,Practice,Hard,,
Science & Technology Part I,2,Why is fluorine highly electronegative?,1,Fluorine is near the top-right.,Fluorine has very high attraction for electrons.,SSC Science;Periodic Classification of Elements,Practice,Hard,,
Science & Technology Part I,2,Name the element with atomic number 11.,1,Atomic number 11.,Z = 11 is sodium.,SSC Science;Periodic Classification of Elements,Practice,Hard,,
Science & Technology Part I,2,Write the electronic configuration of magnesium (Z=12).,1,Distribute 12 electrons by shells.,"Mg: 2,8,2.",SSC Science;Periodic Classification of Elements,Practice,Hard,,
Science & Technology Part I,3,What is a chemical reaction?,1,Look for formation of new substances.,It forms new substances.,SSC Science;Chemical Reactions and Equations,Practice,Easy,,
Science & Technology Part I,3,What is a chemical equation?,1,Use chemical formulae.,It represents a reaction symbolically.,SSC Science;Chemical Reactions and Equations,Practice,Easy,,
Science & Technology Part I,3,Why must a chemical equation be balanced?,1,Atoms are neither created nor destroyed.,Number of each type of atom must be equal on both sides.,SSC Science;Chemical Reactions and Equations,Practice,Easy,,
Science & Technology Part I,3,What is a combination reaction?,1,A + B → AB.,Two or more reactants form one product.,SSC Science;Chemical Reactions and Equations,Practice,Easy,,
Science & Technology Part I,3,What is a decomposition reaction?,1,AB → A + B.,One compound gives two or more products.,SSC Science;Chemical Reactions and Equations,Practice,Easy,,
Science & Technology Part I,3,What is a displacement reaction?,1,Think Zn + CuSO₄.,More reactive element replaces less reactive element.,SSC Science;Chemical Reactions and Equations,Practice,Easy,,
Science & Technology Part I,3,What is a double displacement reaction?,1,AB + CD → AD + CB.,Ions are exchanged between compounds.,SSC Science;Chemical Reactions and Equations,Practice,Easy,,
Science & Technology Part I,3,Define oxidation in terms of oxygen.,1,Oxygen gain.,Oxidation is addition of oxygen.,SSC Science;Chemical Reactions and Equations,Practice,Easy,,
Science & Technology Part I,3,Define reduction in terms of oxygen.,1,Oxygen loss.,Reduction is removal of oxygen.,SSC Science;Chemical Reactions and Equations,Practice,Easy,,
Science & Technology Part I,3,What is a redox reaction?,1,Both processes occur together.,Oxidation and reduction happen together.,SSC Science;Chemical Reactions and Equations,Practice,Easy,,
Science & Technology Part I,3,What is corrosion?,1,Rusting is an example.,Corrosion is environmental chemical deterioration of metals.,SSC Science;Chemical Reactions and Equations,Practice,Medium,,
Science & Technology Part I,3,How can rusting of iron be prevented by painting?,1,Rusting needs oxygen and water.,Painting forms a protective barrier.,SSC Science;Chemical Reactions and Equations,Practice,Medium,,
Science & Technology Part I,3,What is rancidity?,1,Think stale oily food.,Oxidation of fats/oils causes rancidity.,SSC Science;Chemical Reactions and Equations,Practice,Medium,,
Science & Technology Part I,3,Why is nitrogen gas filled in some food packets?,1,Nitrogen is relatively unreactive.,It reduces oxidation and rancidity.,SSC Science;Chemical Reactions and Equations,Practice,Medium,,
Science & Technology Part I,3,Give one example of an exothermic reaction.,1,Heat is released.,Combustion is exothermic.,SSC Science;Chemical Reactions and Equations,Practice,Medium,,
Science & Technology Part I,3,Give one example of an endothermic process.,1,Energy is absorbed.,Photosynthesis absorbs light energy.,SSC Science;Chemical Reactions and Equations,Practice,Medium,,
Science & Technology Part I,3,What is a precipitate?,1,It separates as solid.,An insoluble solid product is a precipitate.,SSC Science;Chemical Reactions and Equations,Practice,Hard,,
Science & Technology Part I,3,What is the colour change when iron is placed in copper sulphate solution?,1,Fe displaces Cu.,Fe + CuSO₄ → FeSO₄ + Cu.,SSC Science;Chemical Reactions and Equations,Practice,Hard,,
Science & Technology Part I,3,Write the balanced equation for magnesium burning in oxygen.,1,Balance Mg and O atoms.,2Mg + O₂ → 2MgO.,SSC Science;Chemical Reactions and Equations,Practice,Hard,,
Science & Technology Part I,3,What is the role of a catalyst?,1,It affects reaction rate.,A catalyst changes reaction rate without permanent consumption.,SSC Science;Chemical Reactions and Equations,Practice,Hard,,
Science & Technology Part I,4,What is electric current?,1,I = Q/t.,Current is charge flowing per unit time.,SSC Science;Effects of Electric Current,Practice,Easy,,
Science & Technology Part I,4,What is the SI unit of electric current?,1,Current unit.,SI unit is ampere.,SSC Science;Effects of Electric Current,Practice,Easy,,
Science & Technology Part I,4,State Ohm’s law.,1,V ∝ I.,V = IR at constant temperature.,SSC Science;Effects of Electric Current,Practice,Easy,,
Science & Technology Part I,4,What is resistance?,1,It is measured in ohms.,Resistance opposes current.,SSC Science;Effects of Electric Current,Practice,Easy,,
Science & Technology Part I,4,What is the SI unit of resistance?,1,Resistance unit.,SI unit is ohm.,SSC Science;Effects of Electric Current,Practice,Easy,,
Science & Technology Part I,4,What is electrical power?,1,P = VI.,Power P = VI.,SSC Science;Effects of Electric Current,Practice,Easy,,
Science & Technology Part I,4,What is the SI unit of electrical power?,1,Power unit.,SI unit is watt.,SSC Science;Effects of Electric Current,Practice,Easy,,
Science & Technology Part I,4,Write one formula for electrical energy.,1,Power × time.,Electrical energy E = Pt.,SSC Science;Effects of Electric Current,Practice,Easy,,
Science & Technology Part I,4,Why are household appliances connected in parallel?,1,Parallel branches.,Parallel connection gives independent operation.,SSC Science;Effects of Electric Current,Practice,Easy,,
Science & Technology Part I,4,What is a fuse?,1,It protects circuits.,Fuse melts during overcurrent.,SSC Science;Effects of Electric Current,Practice,Easy,,
Science & Technology Part I,4,What is the heating effect of current?,1,Use H = I²Rt.,Current through resistance produces heat.,SSC Science;Effects of Electric Current,Practice,Medium,,
Science & Technology Part I,4,State Joule’s law of heating.,1,H = I²Rt.,H = I²Rt.,SSC Science;Effects of Electric Current,Practice,Medium,,
Science & Technology Part I,4,Why is tungsten used in incandescent lamp filaments?,1,Filament must withstand high temperature.,Tungsten has a very high melting point.,SSC Science;Effects of Electric Current,Practice,Medium,,
Science & Technology Part I,4,What is a short circuit?,1,It can cause overheating.,A short circuit produces excessive current.,SSC Science;Effects of Electric Current,Practice,Medium,,
Science & Technology Part I,4,What is an electric motor?,1,It uses magnetic effect of current.,Motor converts electrical to mechanical energy.,SSC Science;Effects of Electric Current,Practice,Medium,,
Science & Technology Part I,4,What is an electric generator?,1,Electromagnetic induction.,Generator converts mechanical to electrical energy.,SSC Science;Effects of Electric Current,Practice,Medium,,
Science & Technology Part I,4,What is electromagnetic induction?,1,Change in magnetic field linkage.,Changing magnetic flux induces emf/current.,SSC Science;Effects of Electric Current,Practice,Hard,,
Science & Technology Part I,4,What is the function of a galvanometer?,1,Sensitive current detector.,It detects small currents.,SSC Science;Effects of Electric Current,Practice,Hard,,
Science & Technology Part I,4,What happens to resistance when length of a uniform wire increases?,1,R ∝ L.,Resistance is directly proportional to length.,SSC Science;Effects of Electric Current,Practice,Hard,,
Science & Technology Part I,4,What happens to resistance when cross-sectional area increases?,1,R ∝ 1/A.,Resistance is inversely proportional to area.,SSC Science;Effects of Electric Current,Practice,Hard,,
Science & Technology Part I,5,What is heat?,1,Heat is energy in transfer.,Heat flows from hot to cold.,SSC Science;Heat,Practice,Easy,,
Science & Technology Part I,5,What is temperature?,1,It is related to average kinetic energy.,Temperature indicates hotness or coldness.,SSC Science;Heat,Practice,Easy,,
Science & Technology Part I,5,What is the SI unit of temperature?,1,SI temperature scale.,SI unit is kelvin.,SSC Science;Heat,Practice,Easy,,
Science & Technology Part I,5,What is specific heat capacity?,1,Q = mcΔT.,It is heat per unit mass per degree rise.,SSC Science;Heat,Practice,Easy,,
Science & Technology Part I,5,What is the SI unit of specific heat capacity?,1,Use SI heat and mass units.,J kg⁻¹ K⁻¹.,SSC Science;Heat,Practice,Easy,,
Science & Technology Part I,5,What is latent heat?,1,Temperature remains constant.,Latent heat changes state at constant temperature.,SSC Science;Heat,Practice,Easy,,
Science & Technology Part I,5,Define melting point.,1,Solid → liquid.,Melting point is the solid-to-liquid transition temperature.,SSC Science;Heat,Practice,Easy,,
Science & Technology Part I,5,Define boiling point.,1,Liquid → gas.,Boiling point is the liquid-to-vapour transition temperature.,SSC Science;Heat,Practice,Easy,,
Science & Technology Part I,5,What is conduction?,1,Common in solids.,Heat passes through the material without bulk flow.,SSC Science;Heat,Practice,Easy,,
Science & Technology Part I,5,What is convection?,1,Occurs in liquids and gases.,Heat is carried by moving fluid.,SSC Science;Heat,Practice,Easy,,
Science & Technology Part I,5,What is radiation?,1,Sun heats Earth by radiation.,Radiation can occur through vacuum.,SSC Science;Heat,Practice,Medium,,
Science & Technology Part I,5,Why are cooking vessels often made of metals?,1,Heat reaches food efficiently.,Metals conduct heat well.,SSC Science;Heat,Practice,Medium,,
Science & Technology Part I,5,Why are handles of cooking utensils made of insulating materials?,1,Insulators are poor conductors.,Insulators reduce heat conduction.,SSC Science;Heat,Practice,Medium,,
Science & Technology Part I,5,Why does a metal spoon feel colder than a wooden spoon in the same room?,1,Both are at same room temperature.,Metal has higher thermal conductivity.,SSC Science;Heat,Practice,Medium,,
Science & Technology Part I,5,What is anomalous expansion of water?,1,Water behaves unusually between 0°C and 4°C.,Water is densest at 4°C.,SSC Science;Heat,Practice,Medium,,
Science & Technology Part I,5,Why are gaps left between railway tracks?,1,Metals expand on heating.,Gaps prevent buckling due to thermal expansion.,SSC Science;Heat,Practice,Medium,,
Science & Technology Part I,5,What is thermal expansion?,1,Heating generally increases size.,Thermal expansion is increase in size on heating.,SSC Science;Heat,Practice,Hard,,
Science & Technology Part I,5,Why do woollen clothes keep us warm?,1,Air reduces heat loss.,Trapped air acts as an insulator.,SSC Science;Heat,Practice,Hard,,
Science & Technology Part I,5,What is calorimetry?,1,Calorimeter is used.,Calorimetry measures heat exchange.,SSC Science;Heat,Practice,Hard,,
Science & Technology Part I,5,Write the heat equation for temperature change.,1,"m = mass, c = specific heat, ΔT = temperature change.",Q = mcΔT.,SSC Science;Heat,Practice,Hard,,
Science & Technology Part I,6,What is refraction of light?,1,Speed changes at boundary.,Refraction is bending due to change in speed.,SSC Science;Refraction of Light,Practice,Easy,,
Science & Technology Part I,6,State Snell’s law.,1,Use refractive index relation.,sin i/sin r = constant.,SSC Science;Refraction of Light,Practice,Easy,,
Science & Technology Part I,6,What is refractive index?,1,n = c/v.,n = c/v.,SSC Science;Refraction of Light,Practice,Easy,,
Science & Technology Part I,6,What happens to light speed when it enters a denser optical medium?,1,Optical density relates to speed.,Speed decreases in the optically denser medium.,SSC Science;Refraction of Light,Practice,Easy,,
Science & Technology Part I,6,What happens to a ray travelling from air to glass obliquely?,1,Glass is optically denser.,The ray bends towards the normal.,SSC Science;Refraction of Light,Practice,Easy,,
Science & Technology Part I,6,What happens when light travels from glass to air obliquely?,1,Air is optically rarer.,The ray bends away from the normal.,SSC Science;Refraction of Light,Practice,Easy,,
Science & Technology Part I,6,What is the normal at a point of incidence?,1,It is a reference line for angles.,Normal is perpendicular to the surface.,SSC Science;Refraction of Light,Practice,Easy,,
Science & Technology Part I,6,What is angle of incidence?,1,"Measure from normal, not surface.",Angle between incident ray and normal.,SSC Science;Refraction of Light,Practice,Easy,,
Science & Technology Part I,6,What is angle of refraction?,1,Measure in second medium.,Angle between refracted ray and normal.,SSC Science;Refraction of Light,Practice,Easy,,
Science & Technology Part I,6,Why does a pencil partly immersed in water appear bent?,1,Apparent position changes.,Refraction makes the submerged part appear displaced.,SSC Science;Refraction of Light,Practice,Easy,,
Science & Technology Part I,6,Why does a coin in water appear raised?,1,Light bends at water-air boundary.,Apparent depth is less than real depth.,SSC Science;Refraction of Light,Practice,Medium,,
Science & Technology Part I,6,What is total internal reflection?,1,Two conditions are needed.,TIR occurs from denser to rarer medium above critical angle.,SSC Science;Refraction of Light,Practice,Medium,,
Science & Technology Part I,6,What is critical angle?,1,Boundary condition for TIR.,Critical angle gives r = 90°.,SSC Science;Refraction of Light,Practice,Medium,,
Science & Technology Part I,6,Name one application of total internal reflection.,1,Light is guided inside fibre.,Optical fibres use total internal reflection.,SSC Science;Refraction of Light,Practice,Medium,,
Science & Technology Part I,6,Why does a prism disperse white light?,1,Refractive index depends on wavelength.,Colours have different deviations.,SSC Science;Refraction of Light,Practice,Medium,,
Science & Technology Part I,6,What is dispersion of light?,1,Prism is a common example.,White light separates into colours.,SSC Science;Refraction of Light,Practice,Medium,,
Science & Technology Part I,6,Which colour deviates most in a glass prism?,1,Violet has higher refractive index in glass.,Violet deviates most.,SSC Science;Refraction of Light,Practice,Hard,,
Science & Technology Part I,6,Which colour deviates least in a glass prism?,1,Red has lower refractive index in glass.,Red deviates least.,SSC Science;Refraction of Light,Practice,Hard,,
Science & Technology Part I,6,What is apparent depth?,1,Usually less than real depth for water viewed from air.,Apparent depth is the refracted visual depth.,SSC Science;Refraction of Light,Practice,Hard,,
Science & Technology Part I,6,Why does a swimming pool appear shallower than it really is?,1,Refraction changes apparent position.,The bottom appears raised due to refraction.,SSC Science;Refraction of Light,Practice,Hard,,
Science & Technology Part I,7,What is a lens?,1,It refracts light.,A lens refracts light and has curved boundaries.,SSC Science;Lenses,Practice,Easy,,
Science & Technology Part I,7,Name the two main types of lenses.,1,"One converges, one diverges.",Convex and concave.,SSC Science;Lenses,Practice,Easy,,
Science & Technology Part I,7,What does a convex lens do to parallel rays?,1,It is converging lens.,Parallel rays converge.,SSC Science;Lenses,Practice,Easy,,
Science & Technology Part I,7,What does a concave lens do to parallel rays?,1,It is diverging lens.,Parallel rays diverge.,SSC Science;Lenses,Practice,Easy,,
Science & Technology Part I,7,What is the principal focus of a convex lens?,1,Think converging rays.,It is the convergence point of parallel rays.,SSC Science;Lenses,Practice,Easy,,
Science & Technology Part I,7,What is focal length?,1,Usually denoted f.,f is distance from optical centre to focus.,SSC Science;Lenses,Practice,Easy,,
Science & Technology Part I,7,What is the SI unit of lens power?,1,Power P = 1/f in metres.,SI practical unit is dioptre.,SSC Science;Lenses,Practice,Easy,,
Science & Technology Part I,7,Write the formula for power of a lens.,1,Use focal length in metres.,P = 1/f.,SSC Science;Lenses,Practice,Easy,,
Science & Technology Part I,7,What is the sign of power of a convex lens?,1,It has positive focal length by sign convention.,Convex lens has positive power.,SSC Science;Lenses,Practice,Easy,,
Science & Technology Part I,7,What is the sign of power of a concave lens?,1,It has negative focal length.,Concave lens has negative power.,SSC Science;Lenses,Practice,Easy,,
Science & Technology Part I,7,What is magnification?,1,m = hᵢ/hₒ.,m = hᵢ/hₒ.,SSC Science;Lenses,Practice,Medium,,
Science & Technology Part I,7,What kind of image is formed by a concave lens for a real object?,1,This is the standard result.,"Concave lens forms virtual, erect, diminished image.",SSC Science;Lenses,Practice,Medium,,
Science & Technology Part I,7,What happens when an object is placed beyond 2F of a convex lens?,1,Use standard ray diagram.,"Image is real, inverted and smaller between F and 2F.",SSC Science;Lenses,Practice,Medium,,
Science & Technology Part I,7,What happens when an object is at 2F of a convex lens?,1,Object and image are symmetric.,Image is same size at 2F.,SSC Science;Lenses,Practice,Medium,,
Science & Technology Part I,7,What happens when an object is between F and 2F of a convex lens?,1,Move object closer to focus.,Image is enlarged beyond 2F.,SSC Science;Lenses,Practice,Medium,,
Science & Technology Part I,7,What happens when an object is at F of a convex lens?,1,Refracted rays become parallel.,Image is at infinity.,SSC Science;Lenses,Practice,Medium,,
Science & Technology Part I,7,What happens when an object is between optical centre and F of a convex lens?,1,This is a magnifying-glass case.,"Image is virtual, erect and enlarged.",SSC Science;Lenses,Practice,Hard,,
Science & Technology Part I,7,Why is a convex lens used as a magnifying glass?,1,Object lies between O and F.,It gives an enlarged virtual image.,SSC Science;Lenses,Practice,Hard,,
Science & Technology Part I,7,Why are concave lenses used in spectacles for myopia?,1,Myopic eye converges too much.,Concave lenses correct myopia.,SSC Science;Lenses,Practice,Hard,,
Science & Technology Part I,7,What is the lens formula?,1,Use Cartesian sign convention.,1/f = 1/v − 1/u.,SSC Science;Lenses,Practice,Hard,,
Science & Technology Part I,8,What is metallurgy?,1,It deals with metal extraction.,Metallurgy is extraction and purification of metals.,SSC Science;Metallurgy,Practice,Easy,,
Science & Technology Part I,8,What is an ore?,1,Economic extraction is important.,An ore is an economically useful mineral source.,SSC Science;Metallurgy,Practice,Easy,,
Science & Technology Part I,8,What is gangue?,1,It is removed during concentration.,Gangue is unwanted impurity.,SSC Science;Metallurgy,Practice,Easy,,
Science & Technology Part I,8,What is concentration of ore?,1,Ore dressing.,It enriches the useful mineral.,SSC Science;Metallurgy,Practice,Easy,,
Science & Technology Part I,8,What is roasting?,1,Sulphide + oxygen.,Roasting is heating sulphide ore in excess air.,SSC Science;Metallurgy,Practice,Easy,,
Science & Technology Part I,8,What is calcination?,1,Often used for carbonate ores.,Calcination occurs with limited/no air.,SSC Science;Metallurgy,Practice,Easy,,
Science & Technology Part I,8,Why are ores concentrated before extraction?,1,It improves efficiency.,Concentration reduces impurities.,SSC Science;Metallurgy,Practice,Easy,,
Science & Technology Part I,8,What is reduction in metallurgy?,1,Think metal extraction.,Reduction produces free metal.,SSC Science;Metallurgy,Practice,Easy,,
Science & Technology Part I,8,What is an alloy?,1,"Examples: brass, steel.",An alloy is a useful metallic mixture.,SSC Science;Metallurgy,Practice,Easy,,
Science & Technology Part I,8,Why is steel stronger than pure iron?,1,Carbon is added to iron.,Alloying increases strength and useful properties.,SSC Science;Metallurgy,Practice,Easy,,
Science & Technology Part I,8,What is galvanization?,1,Zinc acts as protective coating.,Galvanization is zinc coating.,SSC Science;Metallurgy,Practice,Medium,,
Science & Technology Part I,8,Why is aluminium extracted by electrolysis rather than simple heating with carbon?,1,It lies high in reactivity series.,Electrolysis is needed for highly reactive aluminium.,SSC Science;Metallurgy,Practice,Medium,,
Science & Technology Part I,8,What is electrolytic refining?,1,Impure metal is anode.,Electrolysis purifies the metal.,SSC Science;Metallurgy,Practice,Medium,,
Science & Technology Part I,8,"In electrolytic refining of copper, what is used as anode?",1,The impure metal is connected to positive terminal.,Impure copper is the anode.,SSC Science;Metallurgy,Practice,Medium,,
Science & Technology Part I,8,"In electrolytic refining of copper, what is used as cathode?",1,Pure metal is deposited on cathode.,Pure copper sheet is the cathode.,SSC Science;Metallurgy,Practice,Medium,,
Science & Technology Part I,8,What is flux in metallurgy?,1,It helps remove impurities.,Flux forms slag with gangue.,SSC Science;Metallurgy,Practice,Medium,,
Science & Technology Part I,8,What is slag?,1,It separates from molten metal.,Slag is flux + gangue product.,SSC Science;Metallurgy,Practice,Hard,,
Science & Technology Part I,8,Name one highly reactive metal extracted by electrolysis.,1,Very reactive metals need electrolysis.,Sodium is obtained by electrolysis.,SSC Science;Metallurgy,Practice,Hard,,
Science & Technology Part I,8,Why is gold found in native state sometimes?,1,Noble metals are less reactive.,Gold is highly unreactive.,SSC Science;Metallurgy,Practice,Hard,,
Science & Technology Part I,8,What is an amalgam?,1,Mercury is essential.,An amalgam contains mercury.,SSC Science;Metallurgy,Practice,Hard,,
Science & Technology Part I,9,Why does carbon form a large number of compounds?,1,Two key properties.,Carbon shows tetravalency and catenation.,SSC Science;Carbon Compounds,Practice,Easy,,
Science & Technology Part I,9,What is tetravalency of carbon?,1,Carbon has four valence electrons.,Carbon forms four covalent bonds.,SSC Science;Carbon Compounds,Practice,Easy,,
Science & Technology Part I,9,What is catenation?,1,Carbon bonds to carbon.,Catenation is self-linking ability.,SSC Science;Carbon Compounds,Practice,Easy,,
Science & Technology Part I,9,What is a covalent bond?,1,Common in carbon compounds.,Covalent bonds involve shared electrons.,SSC Science;Carbon Compounds,Practice,Easy,,
Science & Technology Part I,9,What is a hydrocarbon?,1,Only C and H.,Hydrocarbons contain carbon and hydrogen only.,SSC Science;Carbon Compounds,Practice,Easy,,
Science & Technology Part I,9,What is a saturated hydrocarbon?,1,Alkanes are saturated.,Only single C–C bonds.,SSC Science;Carbon Compounds,Practice,Easy,,
Science & Technology Part I,9,What is an unsaturated hydrocarbon?,1,Alkenes/alkynes.,It contains multiple C–C bonds.,SSC Science;Carbon Compounds,Practice,Easy,,
Science & Technology Part I,9,What is a homologous series?,1,Think common chemical properties.,Successive members differ by CH₂.,SSC Science;Carbon Compounds,Practice,Easy,,
Science & Technology Part I,9,What is a functional group?,1,"Examples –OH, –COOH.",Functional group controls characteristic reactions.,SSC Science;Carbon Compounds,Practice,Easy,,
Science & Technology Part I,9,Name the functional group of alcohols.,1,Alcohol contains –OH.,Alcohol functional group is –OH.,SSC Science;Carbon Compounds,Practice,Easy,,
Science & Technology Part I,9,Name the functional group of carboxylic acids.,1,Acids contain –COOH.,Carboxylic acid group is –COOH.,SSC Science;Carbon Compounds,Practice,Medium,,
Science & Technology Part I,9,What is ethanol?,1,It contains –OH.,Ethanol is C₂H₅OH.,SSC Science;Carbon Compounds,Practice,Medium,,
Science & Technology Part I,9,What is ethanoic acid?,1,Vinegar contains dilute ethanoic acid.,Ethanoic acid is CH₃COOH.,SSC Science;Carbon Compounds,Practice,Medium,,
Science & Technology Part I,9,What is esterification?,1,Alcohol + acid.,It produces an ester and water.,SSC Science;Carbon Compounds,Practice,Medium,,
Science & Technology Part I,9,Why are many esters fragrant?,1,Used in perfumes/flavours.,Many esters have pleasant odours.,SSC Science;Carbon Compounds,Practice,Medium,,
Science & Technology Part I,9,What is saponification?,1,Soap manufacture.,Saponification is alkaline ester hydrolysis.,SSC Science;Carbon Compounds,Practice,Medium,,
Science & Technology Part I,9,What is addition reaction?,1,Hydrogenation is an example.,Atoms add across multiple bond.,SSC Science;Carbon Compounds,Practice,Hard,,
Science & Technology Part I,9,What is substitution reaction?,1,Common in saturated hydrocarbons.,One group replaces another.,SSC Science;Carbon Compounds,Practice,Hard,,
Science & Technology Part I,9,What is polymerization?,1,Ethene → polythene.,Monomers join to form polymer.,SSC Science;Carbon Compounds,Practice,Hard,,
Science & Technology Part I,9,Why is soap less effective in hard water?,1,Hard water has Ca²⁺/Mg²⁺.,Soap forms insoluble salts in hard water.,SSC Science;Carbon Compounds,Practice,Hard,,
Science & Technology Part I,10,What is a satellite?,1,It may be natural or artificial.,A satellite orbits a celestial body.,SSC Science;Space Missions,Practice,Easy,,
